"","Edu2.F","Edu2.M","Edu.Mean","Life.Exp","GNI","FRHI","GII"
"Norway",97.4,96.7,12.6,81.6,64992,5.9,0.067
"Australia",94.3,94.6,13,82.4,42261,9.05,0.11
"Switzerland",95,96.6,12.8,83,56431,3.95,0.028
"Denmark",95.5,96.6,12.7,80.2,44025,5.05,0.048
"Netherlands",87.7,90.5,11.9,81.6,45435,6.1,0.062
"Germany",96.3,97,13.1,80.9,43919,5.4,0.041
"Ireland",80.5,78.6,12.2,80.9,39568,8.6,0.113
"United States",95.1,94.8,12.9,79.1,52947,29.5,0.28
"Canada",100,100,13,82,42155,12.75,0.129
"New Zealand",95,95.3,12.5,81.8,32689,16.65,0.157
"Singapore",74.1,81,10.6,83,76628,6,0.088
"Sweden",86.5,87.3,12.1,82.2,45636,5.25,0.055
"United Kingdom",99.8,99.9,13.1,80.7,39267,16.9,0.177
"Iceland",91,91.6,10.6,82.6,35182,7.75,0.087
"Korea (Republic of)",77,89.1,11.9,81.9,33890,14.6,0.125
"Israel",84.4,87.3,12.5,82.4,30676,4.9,0.101
"Luxembourg",100,100,11.7,81.7,58711,9.65,0.1
"Japan",87,85.8,11.5,83.5,36927,5.7,0.133
"Belgium",77.5,82.9,11.3,80.8,41187,6.35,0.063
"France",78,83.2,11.1,82.2,38056,8.85,0.088
"Austria",100,100,10.8,81.4,43869,4.05,0.053
"Finland",100,100,10.3,80.8,38695,6.6,0.075
"Slovenia",95.8,98,11.9,80.4,27852,3.8,0.016
"Spain",66.8,73.1,9.6,82.6,32045,7.3,0.095
"Italy",71.2,80.5,10.1,83.1,33030,4,0.068
"Czech Republic",99.9,99.7,12.3,78.6,26660,4.95,0.091
"Greece",59.5,67,10.3,80.9,24524,8.45,0.146
"Estonia",100,100,12.5,76.8,25214,13.9,0.164
"Cyprus",76,81.7,11.6,80.2,28633,7.75,0.124
"Qatar",66.7,59,9.1,78.2,123124,7.75,0.524
"Slovakia",99.1,99.5,12.2,76.3,25845,11.45,0.164
"Poland",79.4,85.5,11.8,77.4,23177,7.6,0.138
"Lithuania",89.1,94.3,12.4,73.3,24500,10.8,0.125
"Malta",68.6,78.2,10.3,80.6,27930,13.6,0.227
"Saudi Arabia",60.5,70.3,8.7,74.3,52821,13.1,0.284
"Argentina",56.3,57.6,9.8,76.3,22050,61.7,0.376
"United Arab Emirates",73.1,61.2,9.5,77,60868,17.8,0.232
"Chile",73.3,76.4,9.8,81.7,21290,38.65,0.338
"Portugal",47.7,48.2,8.2,80.9,25757,10.3,0.111
"Hungary",97.9,98.7,11.6,75.2,22916,13.05,0.209
"Bahrain",56.7,51.4,9.4,76.6,38599,17.9,0.265
"Latvia",98.9,99,11.5,74.2,22281,13.25,0.167
"Croatia",85,93.6,11,77.3,19409,12.85,0.149
"Kuwait",55.6,56.3,7.2,74.4,83961,14.25,0.387
"Montenegro",84.2,94.7,11.2,76.2,14558,11.1,0.171
"Belarus",87,92.2,12,71.3,16676,10.8,0.151
"Russian Federation",89.6,92.5,12,70.1,22352,24.85,0.276
"Oman",47.2,57.1,8,76.8,34858,10.8,0.275
"Romania",86.1,92,10.8,74.7,18108,32,0.333
"Uruguay",54.4,50.3,8.5,77.2,19283,36.15,0.313
"Bahamas",91.2,87.6,10.9,75.4,21336,32.75,0.298
"Kazakhstan",95.3,98.8,11.4,69.4,20867,27.95,0.267
"Barbados",89.5,87.7,10.5,75.6,12488,50.2,0.357
"Bulgaria",93,95.7,10.6,74.2,15596,20.45,0.212
"Panama",54,49.9,9.3,77.6,18192,81.75,0.454
"Malaysia",65.1,71.3,10,74.7,22762,17.35,0.209
"Mauritius",49.4,58,8.5,74.4,17470,51.95,0.419
"Trinidad and Tobago",59.7,60.9,10.9,70.4,26090,59.4,0.371
"Serbia",58.4,73.6,10.5,74.9,12190,16.45,0.176
"Cuba",74.3,78.8,11.5,79.4,7301,61.55,0.356
"Lebanon",53,55.4,7.9,79.3,16509,14,0.385
"Costa Rica",50.7,50.5,8.4,79.4,13413,49.4,0.349
"Iran (Islamic Republic of)",62.2,67.6,8.2,75.4,15440,27.3,0.515
"Venezuela (Bolivarian Republic of)",56.6,50.8,8.9,74.2,16159,96.6,0.476
"Turkey",39,60,7.6,75.3,18677,25.45,0.359
"Sri Lanka",72.7,76.4,10.8,74.9,9779,22.95,0.37
"Mexico",55.7,60.6,8.5,76.8,16056,56.2,0.373
"Brazil",54.6,52.4,7.7,74.5,15175,69.9,0.457
"Georgia",89.7,92.7,12.1,74.9,7164,43.9,0.382
"Azerbaijan",93.7,97.4,11.2,70.8,16428,33,0.303
"Jordan",69.5,78.5,9.9,74,11365,38.25,0.473
"The former Yugoslav Republic of Macedonia",40.2,55.6,9.3,75.4,11780,12.65,0.164
"Ukraine",91.7,95.9,11.3,71,8178,24.35,0.286
"Algeria",26.7,31,7.6,74.8,13054,49.5,0.413
"Peru",56.3,66.1,9,74.6,11015,69.85,0.406
"Albania",81.8,87.9,9.3,77.8,9943,18.15,0.217
"Armenia",94,95,10.9,74.7,8124,28.05,0.318
"Bosnia and Herzegovina",44.9,69.8,8.3,76.5,9638,11.55,0.201
"Ecuador",40.1,39.4,7.6,75.9,10605,82,0.407
"China",58.7,71.9,7.5,75.8,12547,20.3,0.191
"Fiji",64.2,64.5,9.9,70,7493,50.9,0.418
"Mongolia",85.3,84.1,9.3,69.4,10729,43.35,0.325
"Thailand",35.7,40.8,7.3,74.4,13323,33.5,0.38
"Libya",55.5,41.9,7.3,71.6,14911,8.75,0.134
"Tunisia",32.8,46.1,6.8,74.8,10404,25.3,0.24
"Colombia",56.9,55.6,7.3,74,12040,75.75,0.429
"Jamaica",74,70.2,9.7,75.7,7415,75.05,0.43
"Tonga",87.5,88.3,10.7,72.8,5069,69.05,0.666
"Belize",76.4,75.8,10.5,70,7614,58.2,0.426
"Dominican Republic",55.6,53.1,7.6,73.5,11883,99.8,0.477
"Suriname",44.6,47.1,7.7,71.1,15617,82.6,0.463
"Maldives",27.3,32.7,5.8,76.8,12328,17.6,0.243
"Samoa",64.3,60,10.3,73.4,5327,43.15,0.457
"Botswana",73.6,77.9,8.9,64.5,16646,107.1,0.48
"Moldova (Republic of)",93.6,96.6,11.2,71.6,5223,25.15,0.248
"Egypt",43.9,60.6,6.6,71.1,10512,44,0.573
"Gabon",53.9,36.1,7.8,64.4,16367,171.5,0.514
"Indonesia",39.9,49.2,7.6,68.9,9788,119.15,0.494
"Paraguay",36.8,43,7.7,72.9,7643,88.5,0.472
"Philippines",65.9,63.7,8.9,68.2,7915,83.4,0.42
"El Salvador",36.8,43.6,6.5,73,7349,72.5,0.427
"South Africa",72.7,75.9,9.9,57.4,12122,95.45,0.407
"Viet Nam",59.4,71.2,7.5,75.8,5092,39,0.308
"Bolivia (Plurinational State of)",47.6,59.1,8.2,68.3,5760,135.95,0.444
"Kyrgyzstan",94.5,96.8,10.6,70.6,3044,52.15,0.353
"Iraq",27.8,50.2,6.4,69.4,14003,67.85,0.539
"Guyana",60.3,47.8,8.5,66.4,6522,169.25,0.515
"Nicaragua",39.4,38.3,6,74.9,4457,100.4,0.449
"Morocco",20.7,30.2,4.4,74,6850,77.9,0.525
"Namibia",33.3,34.4,6.2,64.8,9418,92.45,0.401
"Guatemala",21.9,23.2,5.6,71.8,6929,118.6,0.533
"Tajikistan",95.1,91.2,10.4,69.4,2517,43.4,0.357
"India",27,56.6,5.4,68,5497,111.4,0.563
"Honduras",28,25.8,5.5,73.1,3938,102,0.48
"Bhutan",34,34.5,3,69.5,7176,80.45,0.457
"Syrian Arab Republic",29.5,40.5,6.3,69.6,2728,45.3,0.533
"Congo",39.7,47,6.1,62.3,6012,268.35,0.593
"Zambia",25.8,44,6.6,60.1,3734,202.7,0.587
"Ghana",45.2,64.7,7,61.4,3852,219.2,0.554
"Bangladesh",34.1,41.3,5.1,71.6,3191,125.3,0.503
"Cambodia",9.9,22.9,4.4,68.4,2949,107.15,0.477
"Kenya",25.3,31.4,6.3,61.6,2762,246.8,0.552
"Nepal",17.7,38.2,3.3,69.6,2311,131.85,0.489
"Pakistan",19.3,46.1,4.7,66.2,4866,98.65,0.536
"Myanmar",22.9,15.3,4.1,65.9,4608,106.05,0.413
"Swaziland",21.9,26,7.1,49,5542,191,0.557
"Tanzania (United Republic of)",5.6,9.5,5.1,65,2411,266.35,0.547
"Cameroon",21.3,34.9,6,55.5,2803,352.9,0.587
"Zimbabwe",48.7,62,7.3,57.5,1615,265.15,0.504
"Mauritania",8.3,20.9,3.8,63.1,3560,196.65,0.61
"Papua New Guinea",7.6,14.5,4,62.6,2463,141.05,0.611
"Yemen",8.6,26.7,2.6,63.8,3519,158.5,0.744
"Lesotho",21.9,19,5.9,49.8,3306,289.7,0.541
"Togo",16.1,40.3,4.5,59.7,1228,270.75,0.588
"Haiti",22.4,35.2,4.9,62.8,1669,211,0.603
"Rwanda",8,8.8,3.7,64.2,1458,176.8,0.4
"Uganda",22.9,33.5,5.4,58.5,1613,243.3,0.538
"Benin",11.3,27,3.3,59.6,1767,215.1,0.614
"Sudan",12.1,18.2,3.1,63.5,3809,222,0.591
"Senegal",7.2,15.4,2.5,66.5,2188,207.2,0.528
"Afghanistan",5.9,29.8,3.2,60.4,1885,243.4,0.693
"C̫te d'Ivoire",14,30.1,4.3,51.5,3171,425.15,0.679
"Malawi",11.1,21.6,4.3,62.8,747,327.4,0.611
"Ethiopia",7.8,18.2,2.4,64.1,1428,249.2,0.558
"Gambia",17.4,31.5,2.8,60.2,1507,272.9,0.622
"Congo (Democratic Republic of the)",12.8,32.4,6,58.7,680,432.65,0.673
"Liberia",15.4,39.3,4.1,60.9,805,378.7,0.651
"Mali",7.7,15.1,2,58,1583,362.8,0.677
"Mozambique",1.4,6.2,3.2,55.1,1123,308.9,0.591
"Sierra Leone",10,21.7,3.1,50.9,1780,600.35,0.65
"Burkina Faso",0.9,3.2,1.4,58.7,1591,257.7,0.631
"Burundi",5.3,8.3,2.7,56.7,758,385.15,0.492
"Chad",1.7,9.9,1.9,51.6,2085,566,0.706
"Central African Republic",10.1,26.7,4.2,50.7,581,489.15,0.655
"Niger",2.4,7.8,1.5,61.4,908,417.4,0.713
